Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Afeganistão,Latin America & Caribbean,High income,ABW,,1,0
Ilhas Alanda,South Asia,Low income,AFG,,2,0
Albânia,Sub-Saharan Africa,Lower middle income,AGO,,3,0
Argélia,Europe & Central Asia,Upper middle income,ALB,,4,0
Samoa Americana,Europe & Central Asia,High income,AND,,5,0
Andorra,Middle East & North Africa,High income,ARE,,6,0
Angola,Latin America & Caribbean,Upper middle income,ARG,,7,0
Anguila,Europe & Central Asia,Upper middle income,ARM,,8,0
Antártica,East Asia & Pacific,High income,ASM,,9,0
Antígua e Barbuda,Latin America & Caribbean,High income,ATG,,10,0
Argentina,East Asia & Pacific,High income,AUS,,11,0
Armênia,Europe & Central Asia,High income,AUT,,12,0
Aruba,Europe & Central Asia,Upper middle income,AZE,,13,0
Austrália,Sub-Saharan Africa,Low income,BDI,,14,0
Áustria,Europe & Central Asia,High income,BEL,,15,0
Azerbaijão,Sub-Saharan Africa,Lower middle income,BEN,,16,0
Bahrein,Sub-Saharan Africa,Low income,BFA,,17,0
Bangladesh,South Asia,Lower middle income,BGD,,18,0
Barbados,Europe & Central Asia,Upper middle income,BGR,,19,0
Bielorrússia,Middle East & North Africa,High income,BHR,,20,0
Bélgica,Latin America & Caribbean,High income,BHS,,21,0
Belize,Europe & Central Asia,Upper middle income,BIH,,22,0
Benim,Europe & Central Asia,Upper middle income,BLR,,23,0
Bermudas,Latin America & Caribbean,Upper middle income,BLZ,,24,0
Butão,North America,High income,BMU,,25,0
Bolívia,Latin America & Caribbean,Lower middle income,BOL,,26,0
"Bonaire, Santo Eustáquio e Saba",Latin America & Caribbean,Upper middle income,BRA,,27,0
Bósnia e Herzegovina,Latin America & Caribbean,High income,BRB,,28,0
Botsuana,East Asia & Pacific,High income,BRN,,29,0
Ilha Bouvet,South Asia,Lower middle income,BTN,,30,0
Brasil,Sub-Saharan Africa,Upper middle income,BWA,,31,0
Território Britânico do Oceano Índico,Sub-Saharan Africa,Low income,CAF,,32,0
Brunei,North America,High income,CAN,,33,0
Bulgária,Europe & Central Asia,High income,CHE,,34,0
Burquina Faso,Europe & Central Asia,High income,CHI,,35,0
Burundi,Latin America & Caribbean,High income,CHL,,36,0
Camboja,East Asia & Pacific,Upper middle income,CHN,,37,0
Camarões,Sub-Saharan Africa,Lower middle income,CIV,,38,0
Canadá,Sub-Saharan Africa,Lower middle income,CMR,,39,0
Cabo Verde,Sub-Saharan Africa,Low income,COD,,40,0
Ilhas Cayman,Sub-Saharan Africa,Lower middle income,COG,,41,0
República Centro-Africana,Latin America & Caribbean,Upper middle income,COL,,42,0
Chade,Sub-Saharan Africa,Lower middle income,COM,,43,0
Chile,Sub-Saharan Africa,Lower middle income,CPV,,44,0
China,Latin America & Caribbean,Upper middle income,CRI,,45,0
Ilha Natal,Latin America & Caribbean,Upper middle income,CUB,,46,0
Ilhas Cocos (Keeling),Latin America & Caribbean,High income,CUW,,47,0
Colômbia,Latin America & Caribbean,High income,CYM,,48,0
Comores,Europe & Central Asia,High income,CYP,,49,0
Congo,Europe & Central Asia,High income,CZE,,50,0
Ilhas Cook,Europe & Central Asia,High income,DEU,,51,0
Costa Rica,Middle East & North Africa,Lower middle income,DJI,,52,0
Costa do Marfim (Costa do Marfim),Latin America & Caribbean,Upper middle income,DMA,,53,0
Croácia,Europe & Central Asia,High income,DNK,,54,0
Cuba,Latin America & Caribbean,Upper middle income,DOM,,55,0
Curaçao,Middle East & North Africa,Lower middle income,DZA,,56,0
Chipre,Latin America & Caribbean,Upper middle income,ECU,,57,0
República Tcheca,Middle East & North Africa,Lower middle income,EGY,,58,0
República Democrática do Congo,Sub-Saharan Africa,Low income,ERI,,59,0
Dinamarca,Europe & Central Asia,High income,ESP,,60,0
Djibuti,Europe & Central Asia,High income,EST,,61,0
Domínica,Sub-Saharan Africa,Low income,ETH,,62,0
República Dominicana,Europe & Central Asia,High income,FIN,,63,0
Equador,East Asia & Pacific,Upper middle income,FJI,,64,0
Egito,Europe & Central Asia,High income,FRA,,65,0
El Salvador,Europe & Central Asia,High income,FRO,,66,0
Guiné Equatorial,East Asia & Pacific,Lower middle income,FSM,,67,0
Eritreia,Sub-Saharan Africa,Upper middle income,GAB,,68,0
Estônia,Europe & Central Asia,High income,GBR,,69,0
Essuatíni,Europe & Central Asia,Upper middle income,GEO,,70,0
Etiópia,Sub-Saharan Africa,Lower middle income,GHA,,71,0
Ilhas Malvinas,Europe & Central Asia,High income,GIB,,72,0
Ilhas Faroé,Sub-Saharan Africa,Lower middle income,GIN,,73,0
Ilhas Fiji,Sub-Saharan Africa,Low income,GMB,,74,0
Finlândia,Sub-Saharan Africa,Low income,GNB,,75,0
França,Sub-Saharan Africa,Upper middle income,GNQ,,76,0
Guiana Francesa,Europe & Central Asia,High income,GRC,,77,0
Polinésia Francesa,Latin America & Caribbean,Upper middle income,GRD,,78,0
Territórios Franceses do Sul,Europe & Central Asia,High income,GRL,,79,0
Gabão,Latin America & Caribbean,Upper middle income,GTM,,80,0
Gâmbia O,East Asia & Pacific,High income,GUM,,81,0
Geórgia,Latin America & Caribbean,High income,GUY,,82,0
Alemanha,East Asia & Pacific,High income,HKG,,83,0
Gana,Latin America & Caribbean,Lower middle income,HND,,84,0
Gibraltar,Europe & Central Asia,High income,HRV,,85,0
Grécia,Latin America & Caribbean,Lower middle income,HTI,,86,0
Groenlândia,Europe & Central Asia,High income,HUN,,87,0
Granada,East Asia & Pacific,Upper middle income,IDN,,89,0
Guadalupe,Europe & Central Asia,High income,IMN,,90,0
Guam,South Asia,Lower middle income,IND,,91,0
Guatemala,Europe & Central Asia,High income,IRL,,92,0
Guernsey e Alderney,Middle East & North Africa,Lower middle income,IRN,,93,0
Guiné,Middle East & North Africa,Upper middle income,IRQ,,94,0
Guiné-Bissau,Europe & Central Asia,High income,ISL,,95,0
Guiana,Middle East & North Africa,High income,ISR,,96,0
Haiti,Europe & Central Asia,High income,ITA,,97,0
Ilha Heard e Ilhas McDonald,Latin America & Caribbean,Upper middle income,JAM,,98,0
Honduras,Middle East & North Africa,Lower middle income,JOR,,100,0
R.A.E. de Hong Kong,East Asia & Pacific,High income,JPN,,101,0
Hungria,Europe & Central Asia,Upper middle income,KAZ,,102,0
Islândia,Sub-Saharan Africa,Lower middle income,KEN,,103,0
Índia,Europe & Central Asia,Lower middle income,KGZ,,104,0
Indonésia,East Asia & Pacific,Lower middle income,KHM,,105,0
Irã,East Asia & Pacific,Lower middle income,KIR,,106,0
Iraque,Latin America & Caribbean,High income,KNA,,107,0
Irlanda,East Asia & Pacific,High income,KOR,,108,0
Israel,Middle East & North Africa,High income,KWT,,109,0
Itália,East Asia & Pacific,Lower middle income,LAO,,110,0
Jamaica,Middle East & North Africa,Lower middle income,LBN,,111,0
Japão,Sub-Saharan Africa,Low income,LBR,,112,0
Jersey,Middle East & North Africa,Upper middle income,LBY,,113,0
Jordânia,Latin America & Caribbean,Upper middle income,LCA,,114,0
Cazaquistão,Europe & Central Asia,High income,LIE,,115,0
Quênia,South Asia,Lower middle income,LKA,,116,0
Quiribáti,Sub-Saharan Africa,Lower middle income,LSO,,117,0
Kosovo,Europe & Central Asia,High income,LTU,,118,0
Kuwait,Europe & Central Asia,High income,LUX,,119,0
Quirguistão,Europe & Central Asia,High income,LVA,,120,0
Laos,East Asia & Pacific,High income,MAC,,121,0
Letônia,Latin America & Caribbean,High income,MAF,,122,0
Líbano,Middle East & North Africa,Lower middle income,MAR,,123,0
Lesoto,Europe & Central Asia,High income,MCO,,124,0
Libéria,Europe & Central Asia,Upper middle income,MDA,,125,0
Líbia,Sub-Saharan Africa,Low income,MDG,,126,0
Liechtenstein,South Asia,Upper middle income,MDV,,127,0
Lituânia,Latin America & Caribbean,Upper middle income,MEX,,128,0
Luxemburgo,East Asia & Pacific,Upper middle income,MHL,,129,0
R.E. de Macau,Europe & Central Asia,Upper middle income,MKD,,130,0
Madagáscar,Sub-Saharan Africa,Low income,MLI,,131,0
Maláui,Middle East & North Africa,High income,MLT,,132,0
Malásia,East Asia & Pacific,Lower middle income,MMR,,133,0
Maldivas,Europe & Central Asia,Upper middle income,MNE,,134,0
Mali,East Asia & Pacific,Lower middle income,MNG,,135,0
